  *WEL.ASC - RUE                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation       : 13.10.2015 11:30 Uhr
   Wellenausgabe - Verzweigung: RUE             
  
   Datum   Zeit    Qtr_zu    Qzu    Qtr_ab1    Qab1   Qtr_ab2    Qab2    CSzu(3)   CSab1(3)   CSab2(3)
     -      -      cbm/s    cbm/s    cbm/s    cbm/s    cbm/s    cbm/s      mg/l       mg/l       mg/l
 19700623 12:15    0.015    0.045    0.015    0.045    0.000    0.000    391.492    391.492    391.492       T T
 19700623 12:20    0.015    0.044    0.015    0.044    0.000    0.000    405.139    405.139    405.139       T T
 19700623 12:25    0.015    0.044    0.015    0.044    0.000    0.000    418.763    418.763    418.763       T T
 19700623 12:30    0.015    0.043    0.015    0.043    0.000    0.000    432.502    432.502    432.502       T T
 19700623 12:35    0.015    0.043    0.015    0.043    0.000    0.000    450.025    450.025    450.025       T T
 19700623 12:40    0.015    0.041    0.015    0.041    0.000    0.000    476.386    476.386    476.386       T T
 19700623 12:45    0.015    0.039    0.015    0.039    0.000    0.000    513.680    513.680    513.680       T T
 19700623 12:50    0.015    0.035    0.015    0.035    0.000    0.000    573.310    573.310    573.310       T T
 19700623 12:55    0.015    0.030    0.015    0.030    0.000    0.000    694.302    694.302    694.302       T T
 19700623 13:00    0.015    0.027    0.015    0.027    0.000    0.000    781.419    781.419    781.419       T T
 19700623 13:05    0.015    0.025    0.015    0.025    0.000    0.000    837.838    837.838    837.838       T T
 19700623 13:10    0.015    0.025    0.015    0.025    0.000    0.000    871.935    871.935    871.935       T T
 19700623 13:15    0.015    0.025    0.015    0.025    0.000    0.000    893.383    893.383    893.383       T T
 19700623 13:20    0.015    0.024    0.015    0.024    0.000    0.000    909.299    909.299    909.299       T T
 19700623 13:25    0.015    0.024    0.015    0.024    0.000    0.000    923.210    923.210    923.210       T T
 19700623 13:30    0.015    0.024    0.015    0.024    0.000    0.000    936.458    936.458    936.458       T T
 19700623 13:35    0.015    0.024    0.015    0.024    0.000    0.000    949.478    949.478    949.478       T T
 19700623 13:40    0.015    0.024    0.015    0.024    0.000    0.000    962.458    962.458    962.458       T T
 19700623 13:45    0.015    0.024    0.015    0.024    0.000    0.000    975.473    975.473    975.473       T T
 19700623 13:50    0.015    0.024    0.015    0.024    0.000    0.000    988.555    988.555    988.555       T T
 19700623 13:55    0.015    0.024    0.015    0.024    0.000    0.000   1001.792   1001.792   1001.792       T T
 19700623 14:00    0.015    0.021    0.015    0.021    0.000    0.000   1001.704   1001.704   1001.704       T T
 19700623 14:05    0.015    0.015    0.015    0.015    0.000    0.000    976.700    976.700    976.700       T T
 19700623 14:10    0.015    0.015    0.015    0.015    0.000    0.000    968.310    968.310    968.310       T T
 19700623 14:15    0.015    0.015    0.015    0.015    0.000    0.000    967.528    967.528    967.528       F T
 19700623 14:20    0.015    0.015    0.015    0.015    0.000    0.000    967.608    967.608    967.608       F T
 19700623 14:25    0.015    0.015    0.015    0.015    0.000    0.000    967.656    967.656    967.656       F T
 19700623 14:30    0.015    0.015    0.015    0.015    0.000    0.000    967.668    967.668    967.668       F T
 19700623 14:35    0.015    0.015    0.015    0.015    0.000    0.000    967.670    967.670    967.670       F T
 19700623 14:40    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
