Gew.Typ.:;19   ;;                   
Grundlast:;  1069.200; l/s;
QM Klaeranlage:;       0.0; l/s;                   
AEO:;    13.500; km2;                   
AEOpnat:;    13.728; km2;                   
T Datum Zeit     ;    Q_zu;    Q_ab;      tf;
 - ;l/s;l/s;min;
01.01.2003 21:05 ;  1069.2;  1069.2;   10.90;
01.01.2003 21:10 ;  1069.2;  1069.2;   10.90;
01.01.2003 21:15 ;  1069.2;  1069.2;   10.90;
01.01.2003 21:20 ;  1069.2;  1069.2;   10.90;
01.01.2003 21:25 ;  1069.2;  1069.2;   10.90;
01.01.2003 21:30 ;  1069.2;  1069.2;   10.90;
01.01.2003 21:35 ;  1069.2;  1069.2;   10.90;
01.01.2003 21:40 ;  1069.2;  1069.2;   10.90;
01.01.2003 21:45 ;  1069.2;  1069.2;   10.90;
01.01.2003 21:50 ;  1069.2;  1069.2;   10.90;
01.01.2003 21:55 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:00 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:05 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:10 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:15 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:20 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:25 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:30 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:35 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:40 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:45 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:50 ;  1069.2;  1069.2;   10.90;
01.01.2003 22:55 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:00 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:05 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:10 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:15 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:20 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:25 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:30 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:35 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:40 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:45 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:50 ;  1069.2;  1069.2;   10.90;
01.01.2003 23:55 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:00 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:05 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:10 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:15 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:20 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:25 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:30 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:35 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:40 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:45 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:50 ;  1069.2;  1069.2;   10.90;
02.01.2003 00:55 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:00 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:05 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:10 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:15 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:20 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:25 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:30 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:35 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:40 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:45 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:50 ;  1069.2;  1069.2;   10.90;
02.01.2003 01:55 ;  1069.2;  1069.2;   10.90;
02.01.2003 02:00 ;  1069.2;  1069.2;   10.90;
02.01.2003 02:05 ;  1069.2;  1069.2;   10.90;
02.01.2003 02:10 ;  1069.2;  1069.2;   10.90;
02.01.2003 02:15 ;  1069.2;  1069.2;   10.90;
02.01.2003 02:20 ;  1069.2;  1069.2;   10.90;
02.01.2003 02:25 ;  1069.2;  1069.2;   10.90;
02.01.2003 02:30 ;  1100.7;  1079.8;   10.84;
02.01.2003 02:35 ;  1155.6;  1107.2;   10.70;
02.01.2003 02:40 ;  1151.1;  1126.8;   10.68;
02.01.2003 02:45 ;  1132.4;  1132.1;   10.70;
02.01.2003 02:50 ;  1109.7;  1125.5;   10.75;
02.01.2003 02:55 ;  1112.9;  1120.1;   10.75;
02.01.2003 03:00 ;  1160.4;  1132.7;   10.65;
02.01.2003 03:05 ;  1139.0;  1137.1;   10.68;
02.01.2003 03:10 ;  1084.6;  1120.2;   10.80;
02.01.2003 03:15 ;  1069.2;  1100.0;   10.85;
02.01.2003 03:20 ;  1069.2;  1086.1;   10.88;
02.01.2003 03:25 ;  1069.2;  1078.0;   10.89;
02.01.2003 03:30 ;  1069.2;  1073.6;   10.90;
02.01.2003 03:35 ;  1069.2;  1071.3;   10.90;
02.01.2003 03:40 ;  1069.2;  1070.2;   10.90;
02.01.2003 03:45 ;  1069.2;  1069.7;   10.90;
02.01.2003 03:50 ;  1081.5;  1073.6;   10.88;
02.01.2003 03:55 ;  1069.2;  1072.8;   10.90;
02.01.2003 04:00 ;  1069.2;  1071.4;   10.90;
02.01.2003 04:05 ;  1069.2;  1070.4;   10.90;
02.01.2003 04:10 ;  1069.2;  1069.9;   10.90;
02.01.2003 04:15 ;  1069.2;  1069.5;   10.90;
02.01.2003 04:20 ;  1069.2;  1069.4;   10.90;
02.01.2003 04:25 ;  1069.2;  1069.3;   10.90;
02.01.2003 04:30 ;  1069.2;  1069.2;   10.90;
02.01.2003 04:35 ;  1069.2;  1069.2;   10.90;
02.01.2003 04:40 ;  1071.8;  1070.1;   10.90;
02.01.2003 04:45 ;  1069.2;  1069.9;   10.90;
02.01.2003 04:50 ;  1069.2;  1069.7;   10.90;
02.01.2003 04:55 ;  1069.2;  1069.5;   10.90;
02.01.2003 05:00 ;  1069.2;  1069.3;   10.90;
02.01.2003 05:05 ;  1069.2;  1069.3;   10.90;
02.01.2003 05:10 ;  1069.2;  1069.2;   10.90;
