SWMM5 LID Report File

Project:  
LID Unit: BC1 in Subcatchment S_BC

                    	  Elapsed	    Total	    Total	  Surface	 Pavement	     Soil	  Storage	  Surface	    Drain	  Surface	 Pavement	     Soil	  Storage
                    	     Time	   Inflow	     Evap	    Infil	     Perc	     Perc	    Exfil	   Runoff	  OutFlow	    Level	    Level	 Moisture	    Level
Date        Time    	    Hours	    mm/hr	    mm/hr	    mm/hr	    mm/hr	    mm/hr	    mm/hr	    mm/hr	    mm/hr	       mm	       mm	  Content	       mm
----------- --------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------
 03/01/2018 10:35:00	 1354.583	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 10:40:00	 1354.667	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 10:45:00	 1354.750	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 10:50:00	 1354.833	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 10:55:00	 1354.917	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 11:00:00	 1355.000	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 11:05:00	 1355.083	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 11:10:00	 1355.167	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 11:15:00	 1355.250	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 11:20:00	 1355.333	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 11:25:00	 1355.417	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 11:30:00	 1355.500	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
 03/01/2018 11:35:00	 1355.583	    0.000	   0.0404	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.191	  511.344
